agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
2,רכבת ישראל,http://www.rail.co.il,Asia/Jerusalem,he,5770,
3,אגד,http://www.egged.co.il,Asia/Jerusalem,he,2800,
4,אלקטרה אפיקים תחבורה,http://www.egged-taavura.co.il,Asia/Jerusalem,he,6686,
5,דן,http://www.dan.co.il,Asia/Jerusalem,he,3456,
6,ש.א.מ,http://www.nazareth-unbs.com,Asia/Jerusalem,he,3553,
7,נסיעות ותיירות,http://www.ntt-buses.com,Asia/Jerusalem,he,3553,
8,גי.בי.טורס,http://www.gb-tours.com,Asia/Jerusalem,he,046036100,
10,מועצה אזורית אילות,https://www.eilot.org.il/bus/,Asia/Jerusalem,he,054-7880000,
14,נתיב אקספרס,http://www.nateevexpress.com,Asia/Jerusalem,he,3553,
15,מטרופולין,http://www.metropoline.com,Asia/Jerusalem,he,5900,
16,סופרבוס,http://www.superbus.co.il,Asia/Jerusalem,he,1-700-700-181,
18,קווים,http://www.kavim-t.co.il,Asia/Jerusalem,he,2060,
20,כרמלית,http://www.carmelithaifa.co.il,Asia/Jerusalem,he,8787,
21,כפיר,https://www.cfir.co.il/,Asia/Jerusalem,he,8787,
22,תבל,http://www.callkav.gov.il/,Asia/Jerusalem,he,9943,
23,גלים,http://www.galeem.co.il/,Asia/Jerusalem,he,0737968430,
24,מועצה אזורית גולן,https://www.golan.org.il/,Asia/Jerusalem,he,3254,
25,אלקטרה אפיקים,https://www.electra-afikim.co.il/,Asia/Jerusalem,he,6686,
31,דן בדרום,http://www.danbadarom.co.il/,Asia/Jerusalem,he,5467,
32,דן באר שבע,http://www.danbr7.co.il/,Asia/Jerusalem,he,3527,
33,כבל אקספרס,https://cableexpress.co,Asia/Jerusalem,he,8787,
34,תנופה,https://www.tnufa-t.com/,Asia/Jerusalem,he,8797,
35,בית שמש אקספרס,http://www.bs-exp.co.il/,Asia/Jerusalem,he,3343,
37,אקסטרה,https://extrapt.co.il/,Asia/Jerusalem,he,6747,
38,אקסטרה ירושלים,https://extrapt.co.il/,Asia/Jerusalem,he,6747,
40,יונייטד טורס,https://www.unitedtours.co.il,Asia/Jerusalem,he,8787,
42,ירושלים-רמאללה איחוד,http://www.ramallahbus.com/ar,Asia/Jerusalem,he,02-6274334,
44,ירושלים-אבו-תור-ענאתא איחוד,http://www.atabuses.com/ar,Asia/Jerusalem,he,02-6277446,
45,ירושלים-אלווסט איחוד,http://www.centerbuses.com/ar,Asia/Jerusalem,he,02-5725222,
47,ירושלים-הר הזיתים,http://mountofolivesbus.com/?lang=ar,Asia/Jerusalem,he,02-6285551,
49,ירושלים - עיסאוויה מחנה שעפאט איחוד,http://www.shufatbus.com,Asia/Jerusalem,he,02-5827547,
50,ירושלים-דרום איחוד,http://www.south-buses.com,Asia/Jerusalem,he,02-5798587,
51,ירושלים-צור באהר איחוד,http://www.surbaherbus.com,Asia/Jerusalem,he,02-6735130,
91,מוניות מטרו קו,http://www.metrokav.com,Asia/Jerusalem,he,0737801500,
93,מוניות מאיה יצחק שדה,http://www.bus.gov.il,Asia/Jerusalem,he,089211110,
97,אודליה מוניות בעמ,http://www.bus.gov.il,Asia/Jerusalem,he,8787,
98,מוניות רב קווית 4-5,https://isrssl.isrcorp.co.il:8093/taxi_45,Asia/Jerusalem,he,8787,
135,דרך אגד עוטף ירושלים,http://www.egged.co.il,Asia/Jerusalem,he,8787,
