route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
1,25,1,ת. רכבת יבנה מערב-יבנה<->ת. רכבת יבנה מזרח-יבנה-1#,67001-1-#,3,
2,25,1,ת. רכבת יבנה מזרח-יבנה<->ת. רכבת יבנה מערב-יבנה-2#,67001-2-#,3,
3,25,2,ת. רכבת יבנה מערב-יבנה<->ת. רכבת יבנה מזרח-יבנה-1#,56002-1-#,3,
4,25,2א,ת. רכבת יבנה מערב-יבנה<->ת. רכבת יבנה מזרח-יבנה-11,56002-1-1,3,
5,25,2,ת. רכבת יבנה מזרח-יבנה<->ת. רכבת יבנה מערב-יבנה-2#,56002-2-#,3,
6,25,2א,ת. רכבת יבנה מזרח-יבנה<->ת. רכבת יבנה מערב-יבנה-21,56002-2-1,3,
7,25,3,ת. רכבת יבנה מערב-יבנה<->ת. רכבת יבנה מזרח-יבנה-1#,49003-1-#,3,
8,25,3,ת. רכבת יבנה מזרח-יבנה<->ת. רכבת יבנה מערב-יבנה-2#,49003-2-#,3,
9,25,4,ת. רכבת יבנה מערב-יבנה<->ת. רכבת יבנה מזרח-יבנה-1#,47004-1-#,3,
10,25,4,ת. רכבת יבנה מזרח-יבנה<->ת. רכבת יבנה מערב-יבנה-2#,47004-2-#,3,
11,25,5,ת. רכבת יבנה מערב-יבנה<->הרימון/הברוש-בן זכאי-1#,41005-1-#,3,
12,25,5,הרימון/הברוש-בן זכאי<->ת. רכבת יבנה מערב-יבנה-2#,41005-2-#,3,
21,25,17,ת. מרכזית אשדוד/רציפים-אשדוד<->דרך מנחם בגין/חיים נחמן ביאליק-גן יבנה-1#,27017-1-#,3,
22,25,17א,ת. מרכזית אשדוד/רציפים-אשדוד<->דרך מנחם בגין/חיים נחמן ביאליק-גן יבנה-11,27017-1-1,3,
23,25,17,דרך מנחם בגין/החציר-גן יבנה<->ת. מרכזית אשדוד-אשדוד-2#,27017-2-#,3,
24,25,17א,דרך מנחם בגין/החציר-גן יבנה<->ת. מרכזית אשדוד-אשדוד-21,27017-2-1,3,
25,25,35,ת. מרכזית יבנה/רציפים-יבנה<->הדר/התפוח-קדרון-1#,23035-1-#,3,
26,25,35,הדר/התפוח-קדרון<->ת. מרכזית יבנה-יבנה-2#,23035-2-#,3,
28,25,36,שדרות הבנים/השקד-שתולים<->ת. רכבת רחובות/הורדה-רחובות-1#,19036-1-#,3,
30,25,36,ת. רכבת רחובות/רציפים בין עירוני-רחובות<->שדרות הבנים/השקד-שתולים-2#,19036-2-#,3,
31,25,37,חשמונאים/שלומציון-גן יבנה<->ת. רכבת רחובות/הורדה-רחובות-1#,20037-1-#,3,
32,25,37,ת. רכבת רחובות/רציפים בין עירוני-רחובות<->מרכז מסחרי/חשמונאים-גן יבנה-2#,20037-2-#,3,
35,25,48,ת. מרכזית יבנה/רציפים-יבנה<->ת. מרכזית רחובות/הורדה-רחובות-1#,22048-1-#,3,
37,25,48,ת. מרכזית רחובות/רציפים-רחובות<->ת. מרכזית יבנה-יבנה-2#,22048-2-#,3,
39,25,178,גיבורי החיל/שדרות הציונות-יבנה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,10178-1-#,3,
40,25,178,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->גיבורי החיל/הנמל-יבנה-2#,10178-2-#,3,
43,25,212,ת. מרכזית אשדוד/רציפים-אשדוד<->ת. מרכזית רחובות/הורדה-רחובות-1#,10212-1-#,3,
44,25,212,ת. מרכזית רחובות/רציפים-רחובות<->ת. מרכזית אשדוד-אשדוד-2#,10212-2-#,3,
46,25,220,ת. מרכזית אשדוד/רציפים-אשדוד<->ת. מרכזית רחובות/הורדה-רחובות-1#,13220-1-#,3,
47,25,220,ת. מרכזית רחובות/רציפים-רחובות<->ת. מרכזית אשדוד-אשדוד-2#,13220-2-#,3,
50,25,280,ת. מרכזית אשדוד/רציפים-אשדוד<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-1#,12280-1-#,3,
51,25,280,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. מרכזית אשדוד-אשדוד-2#,12280-2-#,3,
56,25,284,ת. מרכזית אשדוד/רציפים-אשדוד<->ת. מרכזית ראשל''צ-ראשון לציון-1#,12284-1-#,3,
57,25,284,ת. מרכזית רשל''צ/רציפים-ראשון לציון<->ת. מרכזית אשדוד-אשדוד-2#,12284-2-#,3,
58,25,312,ת. מרכזית אשדוד/רציפים-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11312-1-#,3,
60,25,312,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית אשדוד-אשדוד-2#,11312-2-#,3,
61,25,313,ת. מרכזית אשדוד/רציפים-אשדוד<->ת. מרכזית רמלה/הורדה-רמלה-1#,10313-1-#,3,
62,25,313,ת. מרכזית רמלה/רציפים-רמלה<->ת. מרכזית אשדוד-אשדוד-2#,10313-2-#,3,
64,25,314,ת. מרכזית אשדוד/רציפים-אשדוד<->מסוף קרית אונו-קרית אונו-1#,11314-1-#,3,
65,25,314,מסוף קרית אונו-קרית אונו<->ת. מרכזית אשדוד-אשדוד-2#,11314-2-#,3,
66,25,315,ת. מרכזית אשדוד/רציפים-אשדוד<->בי''ח שיב''א/שדרות אהרון קציר-רמת גן-1#,10315-1-#,3,
67,25,315,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->ת. מרכזית אשדוד-אשדוד-2#,10315-2-#,3,
68,25,320,ת. מרכזית אשדוד/רציפים-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11320-1-#,3,
69,25,320,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית אשדוד-אשדוד-2#,11320-2-#,3,
70,25,321,שד. בני ברית/יצחק רבין-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,12321-1-#,3,
71,25,321,תל חי/ברקת-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-11,12321-1-1,3,
72,25,321,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->כיכר טופז-אשדוד-2#,12321-2-#,3,
73,25,322,רכבת/מסוף ביג - רציפים-אשדוד<->דבורה הנביאה/ראול ולנברג-תל אביב יפו-1#,11322-1-#,3,
75,25,322,דבורה הנביאה/ראול ולנברג-תל אביב יפו<->רכבת/מסוף ביג - הורדה-אשדוד-2#,11322-2-#,3,
77,25,323,ת. מרכזית אשדוד/רציפים-אשדוד<->ת. מרכזית רמלה/הורדה-רמלה-1#,11323-1-#,3,
79,25,323,ת. מרכזית רמלה/רציפים-רמלה<->ת. מרכזית אשדוד-אשדוד-2#,11323-2-#,3,
80,25,324,אדר/כוכב השחר-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11324-1-#,3,
81,25,326,אלטלנה/מנחם בגין-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,11326-1-#,3,
82,25,330,ת. מרכזית אשדוד/רציפים-אשדוד<->נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון-1#,11330-1-#,3,
83,25,330,נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון<->ת. מרכזית אשדוד-אשדוד-2#,11330-2-#,3,
85,25,340,הכוהנים/השקד-בני עי''ש<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,13340-1-#,3,
